dataset,file,param,instance,status,status_detail,return_code,timed_out,wall_time_seconds,reported_makespan,computed_makespan,exact_reference_makespan,best_known_makespan,heuristic_makespan,upper_bound,lower_bound,gap_to_best_known_pct,gap_to_lower_bound_pct,quality_vs_best_known_pct,quality_vs_exact_reference_pct,matched_exact_reference,matched_best_known,precedence_ok,resources_ok,stdout_line_count
j120,datasets/psplib/j120/instances/j1201_1.sm,1,1,ok,,0,False,3.991773,112,112,,105,105,105,104,6.666667,7.692308,93.75,,,False,True,True,120
j120,datasets/psplib/j120/instances/j1201_2.sm,1,2,ok,,0,False,3.006098,117,117,109,109,109,109,109,7.33945,7.33945,93.162393,93.162393,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1201_3.sm,1,3,ok,,0,False,3.005887,132,132,125,125,125,125,125,5.6,5.6,94.69697,94.69697,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1201_4.sm,1,4,ok,,0,False,3.00567,104,104,97,97,97,97,97,7.216495,7.216495,93.269231,93.269231,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1201_5.sm,1,5,ok,,0,False,3.005759,118,118,112,112,112,112,112,5.357143,5.357143,94.915254,94.915254,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1201_6.sm,1,6,ok,,0,False,3.005484,89,89,84,84,84,84,84,5.952381,5.952381,94.382022,94.382022,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1201_7.sm,1,7,ok,,0,False,3.005539,126,126,117,117,117,117,117,7.692308,7.692308,92.857143,92.857143,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1201_8.sm,1,8,ok,,0,False,3.005349,110,110,109,109,109,109,109,0.917431,0.917431,99.090909,99.090909,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1201_9.sm,1,9,ok,,0,False,3.006049,124,124,112,112,112,112,112,10.714286,10.714286,90.322581,90.322581,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1201_10.sm,1,10,ok,,0,False,3.006151,116,116,108,108,108,108,108,7.407407,7.407407,93.103448,93.103448,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1202_1.sm,2,1,ok,,0,False,3.005497,91,91,87,87,87,87,87,4.597701,4.597701,95.604396,95.604396,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1202_2.sm,2,2,ok,,0,False,3.005667,77,77,75,75,75,75,75,2.666667,2.666667,97.402597,97.402597,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1202_3.sm,2,3,ok,,0,False,3.00515,97,97,92,92,92,92,92,5.434783,5.434783,94.845361,94.845361,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1202_4.sm,2,4,ok,,0,False,3.005337,98,98,95,95,95,95,95,3.157895,3.157895,96.938776,96.938776,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1202_5.sm,2,5,ok,,0,False,3.005253,109,109,103,103,103,103,103,5.825243,5.825243,94.495413,94.495413,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1202_6.sm,2,6,ok,,0,False,3.006293,93,93,92,92,92,92,92,1.086957,1.086957,98.924731,98.924731,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1202_7.sm,2,7,ok,,0,False,3.005691,91,91,90,90,90,90,90,1.111111,1.111111,98.901099,98.901099,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1202_8.sm,2,8,ok,,0,False,3.005389,85,85,83,83,83,83,83,2.409639,2.409639,97.647059,97.647059,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1202_9.sm,2,9,ok,,0,False,3.005746,100,100,94,94,94,94,94,6.382979,6.382979,94.0,94.0,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1202_10.sm,2,10,ok,,0,False,3.0057,101,101,96,96,96,96,96,5.208333,5.208333,95.049505,95.049505,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1203_1.sm,3,1,ok,,0,False,3.00521,83,83,80,80,80,80,80,3.75,3.75,96.385542,96.385542,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1203_2.sm,3,2,ok,,0,False,3.005824,88,88,88,88,88,88,88,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1203_3.sm,3,3,ok,,0,False,3.005916,100,100,100,100,100,100,100,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1203_4.sm,3,4,ok,,0,False,3.00524,74,74,71,71,71,71,71,4.225352,4.225352,95.945946,95.945946,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1203_5.sm,3,5,ok,,0,False,3.005533,84,84,84,84,84,84,84,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1203_6.sm,3,6,ok,,0,False,3.005503,102,102,102,102,102,102,102,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1203_7.sm,3,7,ok,,0,False,3.006577,93,93,93,93,93,93,93,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1203_8.sm,3,8,ok,,0,False,3.005067,77,77,77,77,77,77,77,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1203_9.sm,3,9,ok,,0,False,3.005713,86,86,86,86,86,86,86,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1203_10.sm,3,10,ok,,0,False,3.005981,103,103,103,103,103,103,103,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1204_1.sm,4,1,ok,,0,False,3.005676,74,74,74,74,74,74,74,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1204_2.sm,4,2,ok,,0,False,3.006092,107,107,107,107,107,107,107,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1204_3.sm,4,3,ok,,0,False,3.005529,95,95,95,95,95,95,95,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1204_4.sm,4,4,ok,,0,False,3.005865,75,75,75,75,75,75,75,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1204_5.sm,4,5,ok,,0,False,3.005587,74,74,74,74,74,74,74,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1204_6.sm,4,6,ok,,0,False,3.005296,90,90,90,90,90,90,90,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1204_7.sm,4,7,ok,,0,False,3.005998,84,84,81,81,81,81,81,3.703704,3.703704,96.428571,96.428571,False,False,True,True,120
j120,datasets/psplib/j120/instances/j1204_8.sm,4,8,ok,,0,False,3.00643,90,90,90,90,90,90,90,0.0,0.0,100.0,100.0,True,True,True,True,120
j120,datasets/psplib/j120/instances/j1204_9.sm,4,9,ok,,0,False,3.005454,79,79,79,79,79,79,79,0.0,0.0,100.0,100.0,True,True,True,True,120
