dataset,file,param,instance,status,status_detail,return_code,timed_out,wall_time_seconds,reported_makespan,computed_makespan,exact_reference_makespan,best_known_makespan,heuristic_makespan,upper_bound,lower_bound,gap_to_best_known_pct,gap_to_lower_bound_pct,quality_vs_best_known_pct,quality_vs_exact_reference_pct,matched_exact_reference,matched_best_known,precedence_ok,resources_ok,stdout_line_count
j60,datasets/psplib/j60/instances/j601_1.sm,1,1,ok,,0,False,0.004494,91,91,77,77,77,77,77,18.181818,18.181818,84.615385,84.615385,False,False,True,True,60
j60,datasets/psplib/j60/instances/j601_2.sm,1,2,ok,,0,False,0.003734,92,92,68,68,68,68,68,35.294118,35.294118,73.913043,73.913043,False,False,True,True,60
j60,datasets/psplib/j60/instances/j601_3.sm,1,3,ok,,0,False,0.003643,82,82,68,68,68,68,68,20.588235,20.588235,82.926829,82.926829,False,False,True,True,60
j60,datasets/psplib/j60/instances/j601_4.sm,1,4,ok,,0,False,0.003623,97,97,91,91,91,91,91,6.593407,6.593407,93.814433,93.814433,False,False,True,True,60
j60,datasets/psplib/j60/instances/j601_5.sm,1,5,ok,,0,False,0.003593,101,101,73,73,73,73,73,38.356164,38.356164,72.277228,72.277228,False,False,True,True,60
j60,datasets/psplib/j60/instances/j601_6.sm,1,6,ok,,0,False,0.003424,80,80,66,66,66,66,66,21.212121,21.212121,82.5,82.5,False,False,True,True,60
j60,datasets/psplib/j60/instances/j601_7.sm,1,7,ok,,0,False,0.003432,84,84,72,72,72,72,72,16.666667,16.666667,85.714286,85.714286,False,False,True,True,60
j60,datasets/psplib/j60/instances/j601_8.sm,1,8,ok,,0,False,0.00343,96,96,75,75,75,75,75,28.0,28.0,78.125,78.125,False,False,True,True,60
j60,datasets/psplib/j60/instances/j601_9.sm,1,9,ok,,0,False,0.003591,109,109,85,85,85,85,85,28.235294,28.235294,77.981651,77.981651,False,False,True,True,60
j60,datasets/psplib/j60/instances/j601_10.sm,1,10,ok,,0,False,0.003481,82,82,80,80,80,80,80,2.5,2.5,97.560976,97.560976,False,False,True,True,60
j60,datasets/psplib/j60/instances/j602_1.sm,2,1,ok,,0,False,0.003703,76,76,65,65,65,65,65,16.923077,16.923077,85.526316,85.526316,False,False,True,True,60
j60,datasets/psplib/j60/instances/j602_2.sm,2,2,ok,,0,False,0.003742,85,85,82,82,82,82,82,3.658537,3.658537,96.470588,96.470588,False,False,True,True,60
j60,datasets/psplib/j60/instances/j602_3.sm,2,3,ok,,0,False,0.003464,95,95,78,78,78,78,78,21.794872,21.794872,82.105263,82.105263,False,False,True,True,60
j60,datasets/psplib/j60/instances/j602_4.sm,2,4,ok,,0,False,0.003414,86,86,78,78,78,78,78,10.25641,10.25641,90.697674,90.697674,False,False,True,True,60
j60,datasets/psplib/j60/instances/j602_5.sm,2,5,ok,,0,False,0.003364,57,57,54,54,54,54,54,5.555556,5.555556,94.736842,94.736842,False,False,True,True,60
j60,datasets/psplib/j60/instances/j602_6.sm,2,6,ok,,0,False,0.003513,71,71,64,64,64,64,64,10.9375,10.9375,90.140845,90.140845,False,False,True,True,60
j60,datasets/psplib/j60/instances/j602_7.sm,2,7,ok,,0,False,0.003378,60,60,53,53,53,53,53,13.207547,13.207547,88.333333,88.333333,False,False,True,True,60
j60,datasets/psplib/j60/instances/j602_8.sm,2,8,ok,,0,False,0.003322,85,85,66,66,66,66,66,28.787879,28.787879,77.647059,77.647059,False,False,True,True,60
j60,datasets/psplib/j60/instances/j602_9.sm,2,9,ok,,0,False,0.003455,82,82,65,65,65,65,65,26.153846,26.153846,79.268293,79.268293,False,False,True,True,60
j60,datasets/psplib/j60/instances/j602_10.sm,2,10,ok,,0,False,0.003748,75,75,69,69,69,69,69,8.695652,8.695652,92.0,92.0,False,False,True,True,60
j60,datasets/psplib/j60/instances/j603_1.sm,3,1,ok,,0,False,0.00359,64,64,60,60,60,60,60,6.666667,6.666667,93.75,93.75,False,False,True,True,60
j60,datasets/psplib/j60/instances/j603_2.sm,3,2,ok,,0,False,0.003518,69,69,69,69,69,69,69,0.0,0.0,100.0,100.0,True,True,True,True,60
j60,datasets/psplib/j60/instances/j603_3.sm,3,3,ok,,0,False,0.003438,113,113,105,105,105,105,105,7.619048,7.619048,92.920354,92.920354,False,False,True,True,60
j60,datasets/psplib/j60/instances/j603_4.sm,3,4,ok,,0,False,0.003455,93,93,81,81,81,81,81,14.814815,14.814815,87.096774,87.096774,False,False,True,True,60
j60,datasets/psplib/j60/instances/j603_5.sm,3,5,ok,,0,False,0.003361,96,96,83,83,83,83,83,15.662651,15.662651,86.458333,86.458333,False,False,True,True,60
j60,datasets/psplib/j60/instances/j603_6.sm,3,6,ok,,0,False,0.003491,65,65,57,57,57,57,57,14.035088,14.035088,87.692308,87.692308,False,False,True,True,60
